date,close,legacy_bear,trend,drawdown,vol_pctile,multidim_regime
2018-06-03,7714.26,0,,-0.28014982531577526,0.0196078431372549,1
2018-06-04,7487.0,0,,-0.2445005045408678,0.032467532467532464,1
2018-06-05,7625.0,0,,-0.2269870235198702,0.07096774193548387,1
2018-06-06,7658.84,0,,-0.22355636658556366,0.0,1
2018-06-07,7691.08,0,,-0.2202879156528792,0.0,1
2018-06-08,7603.44,0,,-0.2291727493917275,0.006329113924050633,1
2018-06-09,7491.73,0,,-0.2404977696674777,0.0,1
2018-06-10,6764.99,0,,-0.3141737631792376,0.1625,1
2018-06-11,6872.0,0,,-0.30332522303325227,0.16149068322981366,1
2018-06-12,6530.0,0,,-0.3379967558799676,0.14814814814814814,1
2018-06-13,6292.78,0,,-0.3620458231954583,0.15950920245398773,1
2018-06-14,6635.98,1,,-0.3272526358475264,0.18292682926829268,1
2018-06-15,6388.9,1,,-0.352301297648013,0.18787878787878787,1
2018-06-16,6483.98,1,,-0.3426622060016221,0.1927710843373494,1
2018-06-17,6449.61,1,,-0.34614659367396594,0.18562874251497005,1
2018-06-18,6712.46,1,,-0.31949918896999185,0.17857142857142858,1
2018-06-19,6741.21,1,,-0.3165845498783455,0.1834319526627219,1
2018-06-20,6761.51,1,,-0.31452656123276557,0.17647058823529413,1
2018-06-21,6718.84,1,,-0.31885239253852393,0.17543859649122806,1
2018-06-22,6045.0,1,,-0.3871654501216545,0.26744186046511625,1
2018-06-23,6149.98,1,,-0.3765227088402271,0.27167630057803466,1
2018-06-24,6136.97,1,,-0.37784164639091644,0.27011494252873564,1
2018-06-25,6252.0,1,,-0.36618004866180054,0.2742857142857143,1
2018-06-26,6070.78,1,,-0.38455190592051913,0.2784090909090909,1
2018-06-27,6133.73,1,,-0.37817011354420116,0.288135593220339,1
2018-06-28,5853.98,1,,-0.4065308191403082,0.3258426966292135,1
2018-06-29,6197.92,1,,-0.37166261151662616,0.3687150837988827,1
2018-06-30,6390.07,1,,-0.3521826845093269,0.23333333333333334,1
2018-07-01,6356.81,1,,-0.35555454176804535,0.2265193370165746,1
2018-07-02,6615.29,1,,-0.32935016220600166,0.21978021978021978,1
2018-07-03,6513.86,1,,-0.3396330089213301,0.2185792349726776,1
2018-07-04,6586.98,1,,-0.332220194647202,0.20652173913043478,1
2018-07-05,6529.2,1,,-0.33807785888077857,0.1891891891891892,1
2018-07-06,6609.78,1,,-0.32990875912408757,0.1881720430107527,1
2018-07-07,6756.98,1,,-0.3149858069748581,0.19786096256684493,1
2018-07-08,6712.1,1,,-0.3195356853203568,0.1595744680851064,1
2018-07-09,6662.12,1,,-0.324602595296026,0.164021164021164,1
2018-07-10,6296.91,1,,-0.36162712895377136,0.23157894736842105,1
2018-07-11,6378.07,1,,-0.3533992295214923,0.24083769633507854,1
2018-07-12,6250.57,1,,-0.3663250202757502,0.041666666666666664,1
2018-07-13,6214.57,1,,-0.3699746553122466,0.031088082901554404,1
2018-07-14,6251.99,1,,-0.3661810624493107,0.03608247422680412,1
2018-07-15,6353.01,1,,-0.3559397810218978,0.015384615384615385,1
2018-07-16,6723.35,1,,-0.3183951743714517,0.12244897959183673,1
2018-07-17,7317.44,1,,-0.2581670721816708,0.233502538071066,1
2018-07-18,7381.9,1,,-0.25163219789132196,0.1717171717171717,1
2018-07-19,7466.21,0,-0.157061281704996,-0.2430849553933495,0.1407035175879397,1
2018-07-20,7337.53,1,-0.16875394482700068,-0.2561303730738037,0.145,1
2018-07-21,7398.78,1,-0.15834619152556018,-0.24992092457420922,0.13930348258706468,1
2018-07-22,7394.79,1,-0.15518434960782745,-0.25032542579075423,0.1188118811881188,1
2018-07-23,7721.01,0,-0.11420222762191157,-0.21725364963503646,0.14285714285714285,2
2018-07-24,8397.24,0,-0.031865774337670794,-0.148698296836983,0.25980392156862747,2
2018-07-25,8175.64,0,-0.052556817152999535,-0.1711638280616382,0.28292682926829266,2
2018-07-26,7920.0,0,-0.07778414492268182,-0.1970802919708029,0.30097087378640774,2
2018-07-27,8188.57,0,-0.04276974255916488,-0.16985300081103005,0.30434782608695654,2
2018-07-28,8225.04,0,-0.035023654916188196,-0.16615571776155713,0.30288461538461536,2
2018-07-29,8211.0,0,-0.03287198739800745,-0.16757907542579076,0.2966507177033493,2
2018-07-30,8173.92,0,-0.03435911255481661,-0.17133819951338203,0.21428571428571427,2
2018-07-31,7730.93,0,-0.08343923790299856,-0.21624797242497973,0.3080568720379147,2
2018-08-01,7604.58,0,-0.09487487349567736,-0.22905717761557176,0.2971698113207547,2
2018-08-02,7525.71,0,-0.10107962037198825,-0.23705291970802922,0.30985915492957744,2
2018-08-03,7418.78,0,-0.11060062007684968,-0.231931636886182,0.3317757009345794,2
2018-08-04,7009.84,0,-0.1576621225746746,-0.25148531767218363,0.4186046511627907,2
2018-08-05,7024.19,0,-0.15392236983981056,-0.2455220193340495,0.3333333333333333,2
2018-08-06,6934.82,0,-0.1626562777807461,-0.25512137486573583,0.18433179723502305,2
2018-08-07,6720.06,1,-0.18625144370964608,-0.2535091422096821,0.1926605504587156,2
2018-08-08,6285.0,1,-0.23591997459825986,-0.27589746662042847,0.2694063926940639,2
2018-08-09,6529.79,1,-0.2037401904084276,-0.24769491146593603,0.29545454545454547,2
2018-08-10,6144.01,1,-0.2486686283631081,-0.2921410968799648,0.35294117647058826,2
2018-08-11,6232.35,1,-0.23573173375114898,-0.28060655590107275,0.36936936936936937,2
2018-08-12,6308.33,0,-0.22401558431749635,-0.26019176777710273,0.3273542600896861,2
2018-08-13,6246.35,0,-0.22930333011265325,-0.2674604607962021,0.10714285714285714,2
2018-08-14,6188.08,0,-0.23417745119110778,-0.27429406425252545,0.10666666666666667,2
2018-08-15,6267.16,0,-0.22187544188977704,-0.2650199719009544,0.12389380530973451,2
2018-08-16,6311.75,0,-0.21362090448864457,-0.25979068791060844,0.05286343612334802,2
2018-08-17,6584.49,0,-0.1772485724766233,-0.2278051549317578,0.15789473684210525,2
2018-08-18,6387.96,0,-0.19988123898639898,-0.2392786201180388,0.16593886462882096,2
2018-08-19,6477.53,0,-0.1867229045435136,-0.22861202013995074,0.1782608695652174,2
2018-08-20,6254.84,0,-0.21321565346429094,-0.2551314479519461,0.13852813852813853,2
2018-08-21,6480.0,0,-0.18366456353630656,-0.22831787587350127,0.1939655172413793,2
2018-08-22,6360.89,0,-0.19723418225362022,-0.24250229837422765,0.20600858369098712,2
2018-08-23,6525.01,0,-0.17565829948068257,-0.22295778136625843,0.2222222222222222,2
2018-08-24,6681.64,0,-0.15573255941940678,-0.20430522409744145,0.17872340425531916,2
2018-08-25,6733.64,0,-0.1486680101590805,-0.19811271322482138,0.18220338983050846,2
2018-08-26,6700.0,0,-0.15243943490328804,-0.2021187914124164,0.17721518987341772,2
2018-08-27,6908.64,0,-0.12556198290652298,-0.17727253240350394,0.17647058823529413,2
2018-08-28,7076.11,0,-0.10345277635396244,-0.15732907479124092,0.012552301255230125,2
2018-08-29,7031.22,0,-0.10829145624923775,-0.16267487888877774,0.004166666666666667,2
2018-08-30,6984.84,0,-0.1135669078177366,-0.16819812224016462,0.0,2
2018-08-31,7011.21,0,-0.10915094895453159,-0.16505780470726095,0.0,2
2018-09-01,7200.01,0,-0.08438248701069595,-0.14257422676974807,0.00823045267489712,2
2018-09-02,7302.01,0,-0.07014127306972417,-0.13042737851960873,0.00819672131147541,2
2018-09-03,7263.02,0,-0.0734917155105147,-0.13507057080659823,0.004081632653061225,2
2018-09-04,7359.06,0,-0.05956026321669994,-0.12363347957185922,0.008130081300813009,2
2018-09-05,6700.0,0,-0.1414030769307264,-0.2021187914124164,0.19433198380566802,2
2018-09-06,6516.01,0,-0.16290683495604985,-0.22402956209421188,0.16532258064516128,2
2018-09-07,6395.54,0,-0.1758648077267123,-0.23837594257160688,0.14859437751004015,2
2018-09-08,6185.05,0,-0.20040461655622865,-0.26344251206348746,0.18,2
2018-09-09,6250.81,0,-0.18971034900576988,-0.25561136754457414,0.13545816733067728,2
2018-09-10,6312.0,0,-0.1799184585335747,-0.24832444946196608,0.10317460317460317,2
2018-09-11,6294.91,0,-0.1800956363408145,-0.2503596419776022,0.08300395256916997,2
2018-09-12,6338.62,0,-0.17259416417439055,-0.24515436024217485,0.04330708661417323,2
2018-09-13,6487.38,0,-0.1514576285232916,-0.22743901567657943,0.043137254901960784,2
2018-09-14,6476.63,0,-0.15072681029653534,-0.2287191982127461,0.04296875,2
2018-09-15,6514.96,0,-0.14342383143508275,-0.22415460317913982,0.04669260700389105,2
2018-09-16,6505.0,0,-0.14257917732640335,-0.22534070718474164,0.031007751937984496,2
2018-09-17,6248.69,0,-0.17381978022489453,-0.25586383144938096,0.03474903474903475,2
2018-09-18,6336.45,1,-0.1596038537729405,-0.24541277848435916,0.04230769230769231,2
2018-09-19,6391.89,1,-0.14938957604498215,-0.23881060920016572,0.05363984674329502,2
2018-09-20,6492.0,1,-0.13317015337133442,-0.22688883490289669,0.07251908396946564,2
2018-09-21,6759.02,0,-0.09467923437655235,-0.19509029157199265,0.1482889733840304,2
2018-09-22,6723.05,0,-0.0970823399113746,-0.19937384188138008,0.12878787878787878,2
2018-09-23,6708.0,0,-0.09716232587324225,-0.2011660974320133,0.12830188679245283,2
2018-09-24,6581.39,1,-0.11259634285152753,-0.21624367053936766,0.11654135338345864,2
2018-09-25,6447.54,1,-0.1290119490443743,-0.2321834316989868,0.0,2
2018-09-26,6465.12,1,-0.1252751814259252,-0.230089886677051,0.0,2
2018-09-27,6689.13,1,-0.09322196524275761,-0.2034132643582891,0.007434944237918215,2
2018-09-28,6634.58,1,-0.0990921505794079,-0.2099094464371627,0.0,2
2018-09-29,6596.38,1,-0.1027236413762529,-0.21445856019358733,0.0036900369003690036,2
2018-09-30,6626.57,1,-0.09766982655910306,-0.2108633312850413,0.0,2
2018-10-01,6611.61,1,-0.09870706318497513,-0.21264486902839508,0.0,2
2018-10-02,6525.79,1,-0.10935324715778028,-0.2228648937031691,0.014598540145985401,2
2018-10-03,6510.0,1,-0.11071038892507401,-0.2247452734469897,0.0,2
2018-10-04,6593.79,1,-0.09828128703755101,-0.21476699486974293,0.0036231884057971015,2
2018-10-05,6635.65,1,-0.09133634569305693,-0.20978202361728382,0.007220216606498195,2
2018-10-06,6594.27,0,-0.09556878326154261,-0.21470983323091863,0.01079136690647482,2
2018-10-07,6615.26,0,-0.09127546989325408,-0.21221020239983612,0.0,2
2018-10-08,6673.01,0,-0.08205004865278764,-0.20533294272880132,0.0,2
2018-10-09,6656.61,0,-0.08289218441551993,-0.20728596538862776,0.0,2
2018-10-10,6631.0,0,-0.08521326077947378,-0.210335776993393,0.0,2
2018-10-11,6252.68,0,-0.13608338480702709,-0.2553886753266549,0.014134275618374558,2
2018-10-12,6298.01,0,-0.12871500587704876,-0.24999047306019595,0.017605633802816902,2
2018-10-13,6332.93,0,-0.12299681822138331,-0.24583196383573647,0.021052631578947368,2
2018-10-14,6339.34,0,-0.12112941193824733,-0.2450686177839385,0.013986013986013986,2
2018-10-15,6752.5,0,-0.06363076508688259,-0.1958667371660212,0.09059233449477352,2
2018-10-16,6759.27,0,-0.06263935168076129,-0.1950605198851051,0.09375,2
2018-10-17,6740.89,0,-0.06506960307007803,-0.19724933430508118,0.06920415224913495,2
2018-10-18,6618.96,0,-0.08185717875436016,-0.21176958143389968,0.07241379310344828,2
2018-10-19,6528.88,0,-0.09402132029454924,-0.22249691565323837,0.08934707903780069,2
2018-10-20,6588.4,0,-0.08524362695070486,-0.2154088724390395,0.0958904109589041,2
2018-10-21,6590.11,0,-0.0848753400919322,-0.21520523410072834,0.09556313993174062,2
2018-10-22,6581.2,0,-0.08599231559691511,-0.1998579946115765,0.07482993197278912,2
2018-10-23,6553.51,0,-0.08980768520579818,-0.20322454358884579,0.08135593220338982,2
2018-10-24,6565.5,0,-0.08793323796328179,-0.20176679991829838,0.07094594594594594,2
2018-10-25,6528.09,0,-0.09282146304799588,-0.2063151060663535,0.0707070707070707,2
2018-10-26,6538.63,0,-0.09120263558643793,-0.2036743393009377,0.07046979865771812,2
