date,close,prob,position_size,dip_triggered,current_position,entry_price,days_in_position,action
2025-11-08,102312.94,0.18487576185897123,0.0,False,0.0,,0,hold
2025-11-09,104722.96,0.5947763841531922,0.18955276830638446,False,0.0,,0,hold
2025-11-10,106011.13,0.7006379639945919,0.40127592798918377,False,0.0,,0,hold
2025-11-11,103058.99,0.24412512036814177,0.0,False,0.0,,0,hold
2025-11-12,101654.37,0.2148605697169357,0.0,False,0.0,,0,hold
2025-11-13,99692.02,0.22347535403874383,0.0,False,0.0,,0,hold
2025-11-14,94594.0,0.2580173573055461,0.0,True,0.0,,0,hold
2025-11-15,95596.24,0.24257455011987772,0.0,False,0.0,,0,hold
2025-11-16,94261.44,0.2521771697804217,0.0,False,0.0,,0,hold
2025-11-17,92215.14,0.2771496371711119,0.0,False,0.0,,0,hold
2025-11-18,92960.83,0.2599495114632711,0.0,False,0.0,,0,hold
2025-11-19,91554.96,0.23593512169792022,0.0,False,0.0,,0,hold
2025-11-20,86637.23,0.30286249278523697,0.0,True,0.0,,0,hold
2025-11-21,85129.43,0.5906274784728776,0.1812549569457551,False,0.0,,0,hold
2025-11-22,84739.74,0.348875183770187,0.0,False,0.0,,0,hold
2025-11-23,86830.0,0.7107713048912718,0.42154260978254365,False,0.0,,0,hold
2025-11-24,88300.01,0.7016125546997385,0.403225109399477,False,0.0,,0,hold
2025-11-25,87369.96,0.7239892378109595,0.44797847562191895,False,0.0,,0,hold
2025-11-26,90484.02,0.7933861317782122,0.5867722635564243,False,0.0,,0,hold
2025-11-27,91333.95,0.8458461867369733,0.6916923734739466,False,0.0,,0,hold
2025-11-28,90890.7,0.8360826906133896,0.6721653812267792,False,0.0,,0,hold
2025-11-29,90802.44,0.8371593589067996,0.6743187178135992,False,0.0,,0,hold
2025-11-30,90360.0,0.8119123093639652,0.6238246187279304,False,0.0,,0,hold
2025-12-01,86286.01,0.749853212130934,0.49970642426186807,False,0.0,,0,hold
2025-12-02,91277.88,0.8267057310435594,0.6534114620871188,False,0.0,,0,hold
2025-12-03,93429.95,0.7793877156303588,0.5587754312607176,False,0.0,,0,hold
2025-12-04,92078.06,0.7680126572208701,0.5360253144417402,False,0.0,,0,hold
2025-12-05,89330.04,0.7438224142233674,0.48764482844673473,False,0.0,,0,hold
2025-12-06,89236.79,0.7487138537070664,0.4974277074141329,False,0.0,,0,hold
2025-12-07,90395.31,0.7715043069226468,0.5430086138452936,False,0.0,,0,hold
2025-12-08,90634.34,0.7767934676821553,0.5535869353643106,False,0.0,,0,hold
2025-12-09,92678.8,0.8045581405608746,0.6091162811217492,False,0.0,,0,hold
2025-12-10,92015.37,0.7940464906314609,0.5880929812629219,False,0.0,,0,hold
2025-12-11,92513.38,0.785360725459445,0.57072145091889,False,0.0,,0,hold
2025-12-12,90268.42,0.7618554443559004,0.5237108887118007,False,0.0,,0,hold
2025-12-13,90240.01,0.7328841947240676,0.46576838944813526,False,0.0,,0,hold
2025-12-14,88172.17,0.34170870858155583,0.0,False,0.0,,0,hold
2025-12-15,86432.08,0.24057000039591916,0.0,False,0.0,,0,hold
2025-12-16,87863.42,0.247464287072558,0.0,False,0.0,,0,hold
2025-12-17,86243.22,0.18828277482279762,0.0,False,0.0,,0,hold
2025-12-18,85516.41,0.20382212173550707,0.0,False,0.0,,0,hold
2025-12-19,88136.94,0.25812280274880073,0.0,False,0.0,,0,hold
2025-12-20,88360.9,0.4522799114606402,0.0,False,0.0,,0,hold
2025-12-21,88658.86,0.5252299596957023,0.050459919391404595,False,0.0,,0,hold
2025-12-22,88620.79,0.3856534728643122,0.0,False,0.0,,0,hold
2025-12-23,87486.0,0.21693863397826207,0.0,False,0.0,,0,hold
2025-12-24,87669.45,0.279435642517101,0.0,False,0.0,,0,hold
2025-12-25,87225.27,0.2625376865571068,0.0,False,0.0,,0,hold
2025-12-26,87369.56,0.2689079106842078,0.0,False,0.0,,0,hold
2025-12-27,87877.01,0.3454348708036434,0.0,False,0.0,,0,hold
2025-12-28,87952.71,0.2942649274684042,0.0,False,0.0,,0,hold
2025-12-29,87237.13,0.23631957468269144,0.0,False,0.0,,0,hold
2025-12-30,88485.49,0.35169957886957254,0.0,False,0.0,,0,hold
2025-12-31,87648.22,0.2691829645394466,0.0,False,0.0,,0,hold
2026-01-01,88839.04,0.5157406017227766,0.03148120344555316,False,0.0,,0,hold
2026-01-02,89995.13,0.6473508664060023,0.2947017328120045,False,0.0,,0,hold
2026-01-03,90628.01,0.7023263849451172,0.40465276989023446,False,0.0,,0,hold
2026-01-04,91529.73,0.8374184409451932,0.6748368818903865,False,0.0,,0,hold
2025-11-24,88300.01,0.544213895772872,0.0884277915457441,False,0.0,,0,hold
2025-11-25,87369.96,0.5374220800349663,0.07484416006993255,False,0.0,,0,hold
2025-11-26,90484.02,0.6386851879477473,0.2773703758954946,False,0.0,,0,hold
2025-11-27,91333.95,0.6923096425093349,0.3846192850186698,False,0.0,,0,hold
2025-11-28,90890.7,0.7175660205720267,0.43513204114405335,False,0.0,,0,hold
2025-11-29,90802.44,0.7026659702515312,0.4053319405030624,False,0.0,,0,hold
2025-11-30,90360.0,0.6901428030309223,0.3802856060618447,False,0.0,,0,hold
2025-12-01,86286.01,0.52246074125926,0.04492148251852002,False,0.0,,0,hold
2025-12-02,91277.88,0.7315173196252099,0.4630346392504199,False,0.0,,0,hold
2025-12-03,93429.95,0.7356529211029118,0.4713058422058236,False,0.0,,0,hold
2025-12-04,92078.06,0.7122383715126278,0.4244767430252556,False,0.0,,0,hold
2025-12-05,89330.04,0.6137589477093279,0.22751789541865586,False,0.0,,0,hold
2025-12-06,89236.79,0.613584075932149,0.22716815186429806,False,0.0,,0,hold
2025-12-07,90395.31,0.6481158475416818,0.29623169508336367,False,0.0,,0,hold
2025-12-08,90634.34,0.6532605931548199,0.30652118630963976,False,0.0,,0,hold
2025-12-09,92678.8,0.7309389302661207,0.46187786053224134,False,0.0,,0,hold
2025-12-10,92015.37,0.6779279004876413,0.3558558009752826,False,0.0,,0,hold
2025-12-11,92513.38,0.6979020210563476,0.39580404211269515,False,0.0,,0,hold
2025-12-12,90268.42,0.6199107756331645,0.2398215512663291,False,0.0,,0,hold
2025-12-13,90240.01,0.6235115252300146,0.24702305046002926,False,0.0,,0,hold
2025-12-14,88172.17,0.29534707094853474,0.0,False,0.0,,0,hold
2025-12-15,86432.08,0.2270716253437917,0.0,False,0.0,,0,hold
2025-12-16,87863.42,0.24206137876411124,0.0,False,0.0,,0,hold
2025-12-17,86243.22,0.192757902553236,0.0,False,0.0,,0,hold
2025-12-18,85516.41,0.20336392118280336,0.0,False,0.0,,0,hold
2025-12-19,88136.94,0.25004529457908903,0.0,False,0.0,,0,hold
2025-12-20,88360.9,0.44311927417739017,0.0,False,0.0,,0,hold
2025-12-21,88658.86,0.5055492626716005,0.011098525343200993,False,0.0,,0,hold
2025-12-22,88620.79,0.37924784199824296,0.0,False,0.0,,0,hold
2025-12-23,87486.0,0.2697539070920237,0.0,False,0.0,,0,hold
2025-12-24,87669.45,0.2865924027533621,0.0,False,0.0,,0,hold
2025-12-25,87225.27,0.26301171082458535,0.0,False,0.0,,0,hold
2025-12-26,87369.56,0.2614001619905448,0.0,False,0.0,,0,hold
2025-12-27,87877.01,0.29490976125499474,0.0,False,0.0,,0,hold
2025-12-28,87952.71,0.2734180562721857,0.0,False,0.0,,0,hold
2025-12-29,87237.13,0.22577630819461256,0.0,False,0.0,,0,hold
2025-12-30,88485.49,0.3045986434186741,0.0,False,0.0,,0,hold
2025-12-31,87648.22,0.25269454525988855,0.0,False,0.0,,0,hold
2026-01-01,88839.04,0.5324122990547919,0.06482459810958385,False,0.0,,0,hold
2026-01-02,89995.13,0.6281686541149021,0.25633730822980416,False,0.0,,0,hold
2026-01-03,90628.01,0.6581933116285277,0.31638662325705535,False,0.0,,0,hold
2026-01-04,91529.73,0.7439036155944527,0.48780723118890545,False,0.0,,0,hold
2026-01-05,93859.71,0.8310630931820385,0.662126186364077,False,0.0,,0,hold
2026-01-06,93747.97,0.8387900296397477,0.6775800592794954,False,0.0,,0,hold
2026-01-07,91364.16,0.7861097658691443,0.5722195317382885,False,0.0,,0,hold
2026-01-08,91099.99,0.7385643340781032,0.47712866815620636,False,0.0,,0,hold
2026-01-09,90641.28,0.5550705491351825,0.110141098270365,False,0.0,,0,hold
2026-01-10,90504.7,0.5677200058128807,0.13544001162576147,False,0.0,,0,hold
2026-01-11,91013.65,0.6244226257483478,0.24884525149669567,False,0.0,,0,hold
2026-01-12,91296.2,0.7068839691221764,0.4137679382443529,False,0.0,,0,hold
2026-01-13,95414.0,0.8227452944844363,0.6454905889688727,False,0.0,,0,hold
2026-01-14,96951.78,0.8777809038062466,0.7555618076124933,False,0.0,,0,hold
2026-01-15,95604.8,0.8651718122297609,0.7303436244595218,False,0.0,,0,hold
2026-01-16,95550.94,0.8670732656579,0.7341465313158,False,0.0,,0,hold
2026-01-17,95147.77,0.8106695004461258,0.6213390008922517,False,0.0,,0,hold
2026-01-18,93673.14,0.7446071884396501,0.48921437687930025,False,0.0,,0,hold
2026-01-19,92631.0,0.5949692062301205,0.189938412460241,False,0.0,,0,hold
2026-01-20,88427.66,0.14566540330098124,0.0,False,0.0,,0,hold
2026-01-21,89454.73,0.13443659072669975,0.0,False,0.0,,0,hold
2026-01-22,89559.67,0.14649026589853556,0.0,False,0.0,,0,hold
2026-01-23,89600.26,0.14991976211089994,0.0,False,0.0,,0,hold
2026-01-24,89225.34,0.20678928851551187,0.0,False,0.0,,0,hold
2026-01-25,86670.36,0.14172940206718374,0.0,False,0.0,,0,hold
