date,funding_rate_mean,funding_rate_sum,funding_rate_max,funding_rate_min
2020-03-14,-0.0004389733333333334,-0.00131692,-4.946e-05,-0.00076421
2020-03-15,-0.00050297,-0.00150891,-0.00047893,-0.00054208
2020-03-16,-0.0005183766666666667,-0.00155513,-0.00028282,-0.00090358
2020-03-17,-0.00012694666666666668,-0.00038084,-3.681e-05,-0.0002383
2020-03-18,-0.0002786933333333333,-0.0008360799999999999,-0.00014706,-0.00035528
2020-03-19,-0.00021378333333333332,-0.00064135,-0.00015042,-0.00027089
2020-03-20,-2.213333333333333e-05,-6.639999999999999e-05,0.0001,-0.00015469
2020-03-21,-1.3816666666666673e-05,-4.145000000000002e-05,8.327e-05,-0.00011557
2020-03-22,2.460666666666667e-05,7.382000000000001e-05,0.0001,-2.842e-05
2020-03-23,-7.697e-05,-0.00023091000000000002,0.0001,-0.00016796
2020-03-24,0.0001,0.00030000000000000003,0.0001,0.0001
2020-03-25,9.923666666666668e-05,0.00029771,0.0001,9.813e-05
2020-03-26,3.326333333333334e-05,9.979e-05,0.0001,-1.62e-05
2020-03-27,4.4030000000000004e-05,0.00013209000000000002,6.838e-05,1.48e-06
2020-03-28,-0.00025038666666666665,-0.00075116,-0.00012203,-0.00041263
2020-03-29,-0.00026005,-0.00078015,-0.00023282,-0.0002912
2020-03-30,-0.00035036333333333334,-0.00105109,-6.982e-05,-0.0006431
2020-03-31,-0.00012285333333333332,-0.00036856,-5.383e-05,-0.000162
2020-04-01,-0.00030966666666666664,-0.0009289999999999999,-9.237e-05,-0.0004868
2020-04-02,-2.2110000000000003e-05,-6.633000000000001e-05,9.417e-05,-0.0001933
2020-04-03,6.375333333333333e-05,0.00019126,0.0001,7.9e-07
2020-04-04,1.3563333333333331e-05,4.068999999999999e-05,6.184e-05,-7.77e-05
2020-04-05,1.1873333333333334e-05,3.562e-05,4.198e-05,-4.495e-05
2020-04-06,-1.8176666666666665e-05,-5.4529999999999995e-05,2.364e-05,-8.471e-05
2020-04-07,-4.889e-05,-0.00014667,1.131e-05,-0.00012883
2020-04-08,4.638e-05,0.00013914,0.0001,-2.763e-05
2020-04-09,-2.953e-05,-8.859e-05,0.0001,-0.00010005
2020-04-10,4.999e-05,0.00014997,0.0001,-5.003e-05
2020-04-11,0.0001,0.00030000000000000003,0.0001,0.0001
2020-04-12,9.484333333333333e-05,0.00028453,0.0001,8.453e-05
2020-04-13,-5.066333333333332e-05,-0.00015198999999999996,7.954e-05,-0.00020271
2020-04-14,-5.272666666666667e-05,-0.00015818,5.454e-05,-0.00020028
2020-04-15,-4.8360000000000005e-05,-0.00014508000000000001,2.925e-05,-0.00012803
2020-04-16,-0.00015551333333333332,-0.00046654,6.364e-05,-0.00046001
2020-04-17,8.333333333333332e-06,2.4999999999999998e-05,5.926e-05,-6.771e-05
2020-04-18,-0.00013306333333333334,-0.00039919,-3.132e-05,-0.00019642
2020-04-19,-5.531333333333333e-05,-0.00016594,8.514e-05,-0.00019142
2020-04-20,-2.982e-05,-8.946e-05,-1.31e-05,-5.762e-05
2020-04-21,-2.2396666666666662e-05,-6.718999999999999e-05,0.0001,-9.18e-05
2020-04-22,-0.00015103,-0.00045308999999999996,-2.663e-05,-0.00031244
2020-04-23,-9.277e-05,-0.00027831,0.0001,-0.0002234
2020-04-24,0.0001,0.00030000000000000003,0.0001,0.0001
2020-04-25,0.0001,0.00030000000000000003,0.0001,0.0001
2020-04-26,9.164333333333334e-05,0.00027493,0.0001,7.493e-05
2020-04-27,0.0001,0.00030000000000000003,0.0001,0.0001
2020-04-28,0.0001,0.00030000000000000003,0.0001,0.0001
2020-04-29,0.0001,0.00030000000000000003,0.0001,0.0001
2020-04-30,0.00040241666666666665,0.00120725,0.00097517,0.0001
2020-05-01,0.00017495,0.00052485,0.00021072,0.00013528
2020-05-02,0.00010048000000000001,0.00030144000000000004,0.00010144,0.0001
2020-05-03,0.00014990666666666667,0.00044971999999999997,0.0001981,0.0001
2020-05-04,0.00010641666666666666,0.00031925,0.00011925,0.0001
2020-05-05,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-06,0.00018660333333333332,0.00055981,0.00035981,0.0001
2020-05-07,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-08,0.00034433333333333337,0.001033,0.0005319,0.00016094
2020-05-09,0.0005862366666666667,0.0017587100000000001,0.00075816,0.00042037
2020-05-10,0.00020775333333333335,0.00062326,0.00042326,0.0001
2020-05-11,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-12,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-13,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-14,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-15,8.133333333333334e-05,0.00024400000000000002,0.0001,4.4e-05
2020-05-16,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-17,4.338e-05,0.00013014,8.001e-05,8.88e-06
2020-05-18,4.453333333333333e-05,0.0001336,0.0001,-6.64e-05
2020-05-19,9.297333333333333e-05,0.00027892,0.0001,7.892e-05
2020-05-20,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-21,2.594e-05,7.782e-05,0.0001,-9.027e-05
2020-05-22,-2.2633333333333313e-06,-6.789999999999994e-06,6.867e-05,-5.15e-05
2020-05-23,1.2833333333333333e-05,3.85e-05,7.023e-05,-2.092e-05
2020-05-24,8.213666666666667e-05,0.00024641,0.0001,6.724e-05
2020-05-25,-5.759999999999999e-06,-1.7279999999999997e-05,6.784e-05,-4.286e-05
2020-05-26,4.854666666666667e-05,0.00014564,0.0001,-3.5e-07
2020-05-27,-6.403333333333329e-06,-1.9209999999999987e-05,0.0001,-0.00014025
2020-05-28,-6.471666666666666e-05,-0.00019415,-1.187e-05,-0.00011366
2020-05-29,1.2970000000000001e-05,3.8910000000000005e-05,2.618e-05,-6.04e-06
2020-05-30,0.0001,0.00030000000000000003,0.0001,0.0001
2020-05-31,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-01,2.6756666666666667e-05,8.027e-05,0.0001,-2.911e-05
2020-06-02,0.0004093,0.0012278999999999999,0.0007831,0.0001
2020-06-03,9.548666666666667e-05,0.00028646,0.0001,8.646e-05
2020-06-04,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-05,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-06,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-07,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-08,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-09,0.0001,0.00030000000000000003,0.0001,0.0001
